"id","title","stage","session_type","duration","room","timeslot","presenter1","presenter2"
4080,"Systemic Coaching Techniques for Agile Coaches","Learning & Education","Workshop","90 minutes","Conference B","Tuesday 10:45-12:15","Michael Spayd","Doug Rosenberg"
628,"The Agile Playground - Learning Games for the Agile Practitioner","Learning & Education","Workshop","180 minutes","Conference B","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Don McGreal","Michael McCullough"
2404,"The Learning Circle: an evolution of Agile for learning environments ","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 08:30-10:00","garry berteig",
4261,"Coding Dojo: an environment for learning and sharing Agile practices","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 08:30-10:00","Danilo Sato","Mariana Bravo"
5008,"Eleven Guidelines for Implementing Pair Programming in the Classroom","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 08:30-10:00","Laurie  Williams",
257,"An Agile Classroom Experience: Teaching TDD and Refactoring","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 10:30-12:00","Brandon Carlson",
3373,"Transitioning a Team to Agile Test Methods","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 10:30-12:00","Susan Shaye",
3782,"An Agile Classroom Experience","Learning & Education","Experience report","30 minutes","Conference B","Wednesday 10:30-12:00","Pat Reed",
1628,"Learning Collaboration and the Planning via the Process Game ","Learning & Education","Tutorial","60 minutes","Conference B","Wednesday 14:00-15:30","Charles Suscheck",
2300,"Scrum Accelerator - The Game","Learning & Education","Workshop","30 minutes","Conference B","Wednesday 14:00-15:30","Tim Walker",
433,"Who's Teaching Best Practices?  A review of Canadian CS/SE curriculums and how to improve integration of agile/best practices.","Learning & Education","Workshop","60 minutes","Conference B","Wednesday 16:00-17:30","Christopher R Chapman",
4257,"Game Design Workshop","Learning & Education","Workshop","180 minutes","Conference B","Thursday 08:30-10:00, Thursday 10:30-12:00","Hubert Smits",
4563,"Cross Cultural Casino","Learning & Education","Workshop","90 minutes","Conference B","Thursday 14:00-15:30","Sarah Edrie","Susan Borges"
4720,"(Re)Defining the Agile Coach","Learning & Education","Workshop","90 minutes","Conference C","Tuesday 10:45-12:15","Erik Lundh",
4812,"Beer Miles! The Product Owner Simulation.","Learning & Education","Tutorial","180 minutes","Conference C","Tuesday 14:00-15:30, Tuesday 16:00-17:30","Robin Dymond","David Douglas"
4141,"Coaching Agile Teams","Learning & Education","Workshop","90 minutes","Conference C","Wednesday 08:30-10:00","Rachel Davies","Liz Sedley"
336,"Fostering Software Craftsmanship in a Corporate Setting","Learning & Education","Talk","90 minutes","Conference C","Wednesday 10:30-12:00","Scott Dillman",
1852,"Are We Done Yet?","Learning & Education","Workshop","90 minutes","Conference C","Wednesday 14:00-15:30","Julie Chickering","lisa shoop"
