"id","Presentation"
12731,"http://submit2012.agilealliance.org/files/session_pdfs/Ambler%20Agile%20EA.pdf"
12737,"NO"
12754,"http://submit2012.agilealliance.org/files/session_pdfs/User_Driven_Development.pdf"
12761,"http://submit2012.agilealliance.org/files/session_pdfs/continuous_delivery_agile_2012.pdf"
12765,"http://submit2012.agilealliance.org/files/session_pdfs/Distributed%20Agile%20in%20the%20Enterprise%20and%20Virtual%20Spaces-2012-08-16.pdf"
12773,"http://submit2012.agilealliance.org/files/session_pdfs/BigVisible%20-%20Journey%20to%20Agility%20Agile%202012_0.pdf"
12791,"http://submit2012.agilealliance.org/files/session_pdfs/stop-listening-to-your-customers.pdf"
12800,"NO"
12809,"http://submit2012.agilealliance.org/files/session_pdfs/MakingAnImpact.pdf"
12823,"http://submit2012.agilealliance.org/files/session_pdfs/NeedForBuildSpeed-Agile2012.pdf"
12837,"http://submit2012.agilealliance.org/files/session_pdfs/Cars%20Agile%20Transformation%20-%20Agile%202012%20-%20FINAL_0.pdf"
12862,"http://submit2012.agilealliance.org/files/session_pdfs/Agile2012_Presentation_Miki_Konno%20(Aug2012).pdf"
12883,"http://submit2012.agilealliance.org/files/session_pdfs/Mature%20Agile%20Teams%20-%20Essential%20Patterns%20v4%20-%20Half%20day%20Workshop.pdf"
12928,"http://submit2012.agilealliance.org/files/session_pdfs/adobe_premiere_pro_scrum_adoption_peter_green.pdf"
12946,"http://submit2012.agilealliance.org/files/session_pdfs/Baby%20Steps%20and%20Pervasive%20Feedback-Agile2012.pdf"
12955,"http://submit2012.agilealliance.org/files/session_pdfs/Handout.pdf"
12963,"NO"
12971,"http://submit2012.agilealliance.org/files/session_pdfs/Tutorial-PreReading-TheProductPartnership-Agile2012(Gottesdiener-Gorman).pdf"
12972,"http://submit2012.agilealliance.org/files/session_pdfs/ThatSettlesIt_Gottesdiener(Agile2012)-WebsitePartialDeck-v2.pptx.pdf"
12974,"http://submit2012.agilealliance.org/files/session_pdfs/agile%202012-Contracting%202%20Step.pdf"
12977,"http://submit2012.agilealliance.org/files/session_pdfs/mmallete_workshop.pdf"
12979,"http://submit2012.agilealliance.org/files/session_pdfs/Hesselberg_AWG_Handouts.pdf"
13060,"http://submit2012.agilealliance.org/files/session_pdfs/VisionTool.pdf"
13081,"http://submit2012.agilealliance.org/files/session_pdfs/Shared%20Vision.pdf"
13092,"http://submit2012.agilealliance.org/files/session_pdfs/2012-08%20Agile%202012%20-%20An%20Agile%20Adoption%20and%20Transformation%20Survival%20Guide.pdf"
13094,"NO"
13095,"NO"
13129,"NO"
13134,"http://submit2012.agilealliance.org/files/session_pdfs/Adaptive%20Leadership%20WP%20US%20Single%20pages.pdf"
13139,"http://submit2012.agilealliance.org/files/session_pdfs/Dollars%20and%20Dates%20are%20Killing%20Agile%20final.pdf"
13159,"http://submit2012.agilealliance.org/files/session_pdfs/How%20Much%20Will%20This%20Project.Cost.r1.pdf"
13161,"http://submit2012.agilealliance.org/files/session_pdfs/TDD%20and%20a%20new%20paradigm%20for%20hardware%20verification.pdf"
13166,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%20Sustainability%20-%20Agile%202012%20-%20DiFabio-Neumann_0.pdf"
13174,"NO"
13177,"http://submit2012.agilealliance.org/files/session_pdfs/agile-in-a-nutshell-cut.pdf"
13178,"NO"
13179,"http://submit2012.agilealliance.org/files/session_pdfs/99-inception-deck.pdf"
13182,"http://submit2012.agilealliance.org/files/session_pdfs/ApprovalTests_Agile_Aug_2012.pdf"
13247,"NO"
13252,"http://submit2012.agilealliance.org/files/session_pdfs/4525f279.pdf"
13254,"http://submit2012.agilealliance.org/files/session_pdfs/MainframesAgile2012.pdf"
13268,"http://submit2012.agilealliance.org/files/session_pdfs/What's%20Done%20is%20Done%20-%20081412%200800.pptx.pdf"
13274,"http://submit2012.agilealliance.org/files/session_pdfs/Can%20laughing%20at%20our%20problems%20actually%20help%20us%20solve%20them_.pdf"
13283,"http://submit2012.agilealliance.org/files/session_pdfs/Can%20Marketing%20Go%20Agile.pdf"
13298,"NO"
13302,"http://submit2012.agilealliance.org/files/session_pdfs/Is%20It%20Worth%20It_Agile2012_0.pdf"
13335,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%202012%20Inside%20Out-Leading%20Change%20from%20the%20Middle.pdf"
13340,"http://submit2012.agilealliance.org/files/session_pdfs/BrainScience.pdf"
13372,"NO"
13376,"http://submit2012.agilealliance.org/files/session_pdfs/TDD-EC-Agile2012.pdf"
13411,"NO"
13424,"http://submit2012.agilealliance.org/files/session_pdfs/Threat%20Model%20Express_Agile%202012.pdf"
13425,"http://submit2012.agilealliance.org/files/session_pdfs/there-and-back-again-med-res.pdf"
13427,"NO"
13429,"http://submit2012.agilealliance.org/files/session_pdfs/Break%20Down%20the%20Silos%20-%20Collaboration%20Techniques%20for%20Teams_0.pdf"
13455,"http://submit2012.agilealliance.org/files/session_pdfs/IEEE-Psaddington-Agile2012-V2_0.pdf"
13462,"http://submit2012.agilealliance.org/files/session_pdfs/20120815_Siggeb_DET_Agile2012.pdf"
13476,"http://submit2012.agilealliance.org/files/session_pdfs/+15Team_V3.pdf"
13518,"http://submit2012.agilealliance.org/files/session_pdfs/Slow%20Down%20to%20Go%20Fast%20-%20Agile%202012%20-%20Slides_0.pdf"
13526,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%202012%20-%20Pitfalls%20in%20Agile%20Testing%20-%20Paul%20Carvalho.pdf"
13547,"http://submit2012.agilealliance.org/files/session_pdfs/Agile2012%202.0.pdf"
13560,"http://submit2012.agilealliance.org/files/session_pdfs/Business%20Agility%20and%20Innofficiency%20-%20Agile%202012%20final.pdf"
13567,"http://submit2012.agilealliance.org/files/session_pdfs/The%20Dirty%20Dozen%20-%20Session%20Pictures%20Agile%202012.pdf"
13606,"http://submit2012.agilealliance.org/files/session_pdfs/Transforming%20Worst%20Nightmare%20Leader%20-%20Agile2012.pdf"
13608,"http://submit2012.agilealliance.org/files/session_pdfs/Kanban%20Pizza%20Game%20AllIncluded.pdf"
13615,"http://submit2012.agilealliance.org/files/session_pdfs/Writing%20High%20Quality%20Code%20for%20Agile2012.pdf"
13623,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%202012%20-%20The%200-Page%20Agile%20Test%20Plan%20-%20Paul%20Carvalho.pdf"
13624,"http://submit2012.agilealliance.org/files/session_pdfs/Wetware_Craftsmanship.pdf"
13649,"http://submit2012.agilealliance.org/files/session_pdfs/CrackingBigRocks-Agile2012-20120812.pdf"
13650,"http://submit2012.agilealliance.org/files/session_pdfs/SQALE-Meaningful%20Insights%20into%20your%20Technical%20Debt.pdf"
13677,"NO"
13685,"NO"
13694,"NO"
13721,"http://submit2012.agilealliance.org/files/session_pdfs/Agile2012_COP.pptx%20(Read-Only).pdf"
13735,"NO"
13758,"NO"
13776,"http://submit2012.agilealliance.org/files/session_pdfs/PragmaticNotDogmaticTDD%20-%20Agile2012.pdf"
13777,"http://submit2012.agilealliance.org/files/session_pdfs/TestingSystemQualities%20-%20Agile2012.pdf"
13801,"http://submit2012.agilealliance.org/files/session_pdfs/scaling-scrum-mega-framework.pdf"
13804,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%20Game%20Incubator-agile2012.pdf"
13819,"NO"
13820,"http://submit2012.agilealliance.org/files/session_pdfs/Remote%20Pair%20Programming%20-%20Conference%202012.pdf"
13848,"http://submit2012.agilealliance.org/files/session_pdfs/automated_tests_workshop.pdf"
13875,"http://submit2012.agilealliance.org/files/session_pdfs/custdevgame-placeholder.pdf"
13876,"http://submit2012.agilealliance.org/files/session_pdfs/1000Words.pdf"
13885,"http://submit2012.agilealliance.org/files/session_pdfs/questions-not-stories-placeholder.pdf"
13925,"http://submit2012.agilealliance.org/files/session_pdfs/Rubin_Agile_2012_Strategies_for_Porfolio_Management.pdf.pdf"
13949,"NO"
13954,"http://submit2012.agilealliance.org/files/session_pdfs/ScrumMaster-TheCoachApproach-Agile2012.pdf"
13957,"http://submit2012.agilealliance.org/files/session_pdfs/What%20to%20do%20with%20Managers%20Agile2012%20final.pdf"
13959,"http://submit2012.agilealliance.org/files/session_pdfs/How%20to%20Change%20the%20World%20v2.0%20(USA).pdf"
13965,"http://submit2012.agilealliance.org/files/session_pdfs/Agile%202012%20--%20Leadership%20Agility%20Workshop%20Slides%20--%20FINAL.pptx.pdf"
13967,"http://submit2012.agilealliance.org/files/session_pdfs/agile2012%20--%20Organizational%20Agility%20FINAL.pptx.pdf"
13972,"http://submit2012.agilealliance.org/files/session_pdfs/Modeling,%20Simulation%20&%20Data%20Mining%20-%20Agile%202012%20(Magennis%20&%20Maccherone).pdf"
13979,"NO"
13986,"NO"
13999,"http://submit2012.agilealliance.org/files/session_pdfs/Agile2012-What's%20the%20Point%20Of%20Story%20Points.pdf"
14013,"NO"
14026,"http://submit2012.agilealliance.org/files/session_pdfs/Instructions.pdf"
14027,"http://submit2012.agilealliance.org/files/session_pdfs/Release%20Planning%20on%20a%20Budget%20-%20Taking%20It%20Virtual!.pdf"
14029,"http://submit2012.agilealliance.org/files/session_pdfs/Agile2012-Klingon.pdf"
14034,"http://submit2012.agilealliance.org/files/session_pdfs/GlobalAgilityAgile2012.pdf"
14065,"NO"
14068,"http://submit2012.agilealliance.org/files/session_pdfs/Precor%20Agile%20Alliance%20Presentation%20-%201208.pdf"
14154,"NO"
14274,"http://submit2012.agilealliance.org/files/session_pdfs/BuildingaTeamThroughFeedback_0.pdf"
14320,"http://submit2012.agilealliance.org/files/session_pdfs/Design%20Pairing%20%E2%80%94%20Version%205%20Agile%202012.pdf"
